,TT
976,59.583333333333336
977,59.71666666666667
978,59.766666666666666
979,59.85
980,59.766666666666666
981,59.766666666666666
982,23.73333333333333
983,59.28333333333333
984,59.95
985,59.95
986,59.93333333333333
987,59.8
988,59.91666666666666
989,59.833333333333336
990,59.9
991,59.88333333333333
992,59.93333333333333
993,14.716666666666669
994,59.78333333333333
995,59.95
996,59.93333333333333
997,59.75
998,49.96666666666667
999,59.766666666666666
1000,59.8
1001,43.81666666666667
1002,59.9
1003,59.78333333333333
1004,58.43333333333333
1005,59.766666666666666
1006,59.55
1007,59.95
1008,59.88333333333333
1009,59.81666666666667
1010,59.86666666666667
1011,51.45
1012,59.8
1013,59.93333333333333
1014,59.88333333333333
1015,59.78333333333333
1016,58.48333333333333
1017,59.85
1018,59.86666666666667
1019,59.78333333333333
1020,16.433333333333334
1021,59.86666666666667
1022,58.43333333333333
1023,58.266666666666666
1024,59.91666666666666
1025,59.91666666666666
1026,58.78333333333333
1027,59.766666666666666
1028,59.766666666666666
1029,59.78333333333333
1030,13.616666666666667
1031,59.91666666666666
1032,34.36666666666667
1033,59.766666666666666
1034,59.85
1035,58.46666666666667
1036,4.633333333333334
1037,42.85
1038,59.766666666666666
1039,59.93333333333333
1040,58.516666666666666
1041,59.833333333333336
1042,54.13333333333333
1043,59.93333333333333
1044,59.93333333333333
1045,59.95
1046,59.86666666666667
1047,59.833333333333336
1048,59.93333333333333
1049,59.86666666666667
1050,59.93333333333333
1051,59.766666666666666
1052,59.93333333333333
1053,59.91666666666666
1054,59.78333333333333
1055,59.8
1056,4.166666666666667
1057,59.93333333333333
1058,59.81666666666667
1059,59.96666666666667
1060,59.78333333333333
1061,59.78333333333333
1062,59.1
1063,59.766666666666666
1064,59.81666666666667
1065,59.78333333333333
1066,59.91666666666666
1067,59.91666666666666
1068,59.96666666666667
1069,1.1666666666666667
1070,58.333333333333336
1071,59.833333333333336
1072,59.78333333333333
1073,59.78333333333333
1074,59.78333333333333
1075,59.8
1076,59.766666666666666
1077,59.766666666666666
1078,13.616666666666667
1079,59.93333333333333
1080,59.95
1081,59.93333333333333
1082,42.333333333333336
1083,53.96666666666667
1084,59.86666666666667
1085,59.78333333333333
1086,59.766666666666666
1087,59.9
1088,59.91666666666666
1089,59.88333333333333
1090,59.833333333333336
1091,59.8
1092,59.81666666666667
1093,58.333333333333336
1094,59.93333333333333
1095,38.95
1096,59.833333333333336
1097,39.68333333333333
1098,32.03333333333333
1099,59.833333333333336
1100,59.88333333333333
1101,33.05
1102,59.833333333333336
1103,59.95
1104,59.95
1105,59.8
1106,59.75
1107,41.73333333333333
1108,43.45
1109,45.0
1110,59.75
1111,59.8
1112,59.766666666666666
1113,59.93333333333333
1114,59.766666666666666
1115,1.0
1116,59.71666666666667
1117,36.35
1118,59.85
1119,58.266666666666666
1120,59.95
1121,59.75
1122,59.78333333333333
1123,59.766666666666666
1124,59.95
1125,59.93333333333333
1126,59.766666666666666
1127,49.11666666666667
1128,59.96666666666667
1129,59.766666666666666
1130,59.766666666666666
1131,52.21666666666667
1132,56.15
1133,59.9
1134,57.95
1135,59.96666666666667
1136,59.95
1137,59.78333333333333
1138,59.91666666666666
1139,59.95
1140,35.86666666666667
1141,24.9
1142,59.95
1143,59.78333333333333
1144,45.16666666666666
1145,59.8
1146,59.75
1147,59.93333333333333
1148,59.95
1149,59.78333333333333
1150,59.78333333333333
1151,59.9
1152,59.93333333333333
1153,59.96666666666667
1154,37.333333333333336
1155,14.95
1156,10.8
1157,59.766666666666666
1158,50.3
1159,59.78333333333333
1160,59.833333333333336
1161,59.93333333333333
1162,59.78333333333333
1163,59.833333333333336
1164,55.95
1165,59.91666666666666
1166,57.266666666666666
1167,56.95
1168,59.95
1169,37.41666666666666
1170,59.95
1171,59.86666666666667
1172,59.766666666666666
1173,14.966666666666669
1174,18.6
1175,59.766666666666666
1176,59.81666666666667
1177,59.86666666666667
1178,59.8
1179,39.35
1180,59.95
1181,58.63333333333333
1182,59.93333333333333
1183,59.93333333333333
1184,59.766666666666666
1185,59.86666666666667
1186,59.93333333333333
1187,59.78333333333333
1188,59.766666666666666
1189,59.78333333333333
1190,59.766666666666666
1191,59.95
1192,58.46666666666667
1193,59.93333333333333
1194,59.91666666666666
1195,31.05
1196,33.75
1197,59.93333333333333
1198,59.96666666666667
1199,59.78333333333333
1200,27.23333333333333
1201,26.75
1202,53.6
1203,59.61666666666667
1204,59.81666666666667
